Name,Location,City,P.O Box,Phone,Company Page Link,Logo URL
Pranavam Cafeteria,"Satwa, Dubai",Dubai,,04-3312243,https://www.yellowpages-uae.com/pranavam-cafeteria-145702.html,https://media.yellowpages-uae.com/images/placeholder.png
Pulp Juice Bars,"Bahar Bldg, JBR, Dubai",Dubai,22700,04-4364192,https://www.yellowpages-uae.com/pulp-juice-bars-146467.html,https://media.yellowpages-uae.com/images/placeholder.png
Pumpy's Restaurant,"Next to Middle East Bank, Khalid Bin Walid Road, Bur Dubai, Dubai",Dubai,51745,04-3528484,https://www.yellowpages-uae.com/pumpy-s-restaurant-35883.html,https://media.yellowpages-uae.com/images/placeholder.png
Punjab Grill,"Venetian Village, Al Maqta, Abu Dhabi",Abu Dhabi,,02-4087201,https://www.yellowpages-uae.com/punjab-grill-175715.html,https://media.yellowpages-uae.com/images/placeholder.png
Punjab Restaurant,"Al Ghowair Market, Rolla, Sharjah",Sharjah,1338,06-5623835,https://www.yellowpages-uae.com/punjab-restaurant-132028.html,https://media.yellowpages-uae.com/images/placeholder.png
Puranmal Restaurant,"Bur Dubai, Dubai",Dubai,45068,04-3937701,https://www.yellowpages-uae.com/puranmal-restaurant-145004.html,https://media.yellowpages-uae.com/images/placeholder.png
Pushkin,"Jumeirah Beach Residence, Dubai Marina, Dubai",Dubai,,04-4270268,https://www.yellowpages-uae.com/pushkin-67766.html,https://media.yellowpages-uae.com/images/placeholder.png
Qasr Al Khaleej Restaurant,,,,06-5508992,https://www.yellowpages-uae.com/qasr-al-khaleej-restaurant-147324.html,https://media.yellowpages-uae.com/images/placeholder.png
Qiso Cafe,,,,04-3212127,https://www.yellowpages-uae.com/qiso-cafe-175334.html,https://media.yellowpages-uae.com/images/placeholder.png
Quest Restaurants Management,"Al Muroor, Abu Dhabi",Abu Dhabi,51579,02-6418300,https://www.yellowpages-uae.com/quest-restaurants-management-163806.html,https://media.yellowpages-uae.com/images/placeholder.png
Quick Bite Rest LLC,"Damascus St, Dubai",Dubai,84907,04-2637888,https://www.yellowpages-uae.com/quick-bite-rest-llc-130920.html,https://media.yellowpages-uae.com/images/placeholder.png
Quizno'S Subs,"JAFZA, Jebel Ali",Jebel Ali,13132,04-8872280,https://www.yellowpages-uae.com/quizno-s-subs-151270.html,https://media.yellowpages-uae.com/images/placeholder.png
Qurtoba Restaurant & Cafe,"Plaza Level, Bahar Section, The Walk, Dubai",Dubai,,04-4522209,https://www.yellowpages-uae.com/qurtoba-restaurant-cafe-175568.html,https://media.yellowpages-uae.com/images/placeholder.png
Qwaider Al Nabulsi Restaurant,"Al Murakabat Rd, Near Clock Tower, Deira, Dubai",Dubai,11171,04-2277760,https://www.yellowpages-uae.com/qwaider-al-nabulsi-restaurant-175208.html,https://media.yellowpages-uae.com/images/placeholder.png
Raaga Restaurant,"Opp New Burjuman, Al Karama, Dubai",Dubai,237796,04-3970211,https://www.yellowpages-uae.com/raaga-restaurant-175269.html,https://media.yellowpages-uae.com/images/placeholder.png
Radhe O Radhe Restaurant LLC,"Opp Day to Day, Kuwait St, Karama, Dubai",Dubai,,04-3365339,https://www.yellowpages-uae.com/radhe-o-radhe-restaurant-llc-68555.html,https://media.yellowpages-uae.com/images/placeholder.png
Radio Restaurant,"Near Al Wahda Post Office, Jamal Abdul Nasser St, Sharjah",Sharjah,22196,06-5597786,https://www.yellowpages-uae.com/radio-restaurant-118291.html,https://media.yellowpages-uae.com/images/placeholder.png
Raidan Mandi Restaurant,,,,06-5553801,https://www.yellowpages-uae.com/raidan-mandi-restaurant-175231.html,https://media.yellowpages-uae.com/images/placeholder.png
Raihana Restaurant,"Old Jawazat Rd, Abu Dhabi",Abu Dhabi,6479,02-6428440,https://www.yellowpages-uae.com/raihana-restaurant-134190.html,https://media.yellowpages-uae.com/images/placeholder.png
Rainbow Catering and Wedding Services LLC Co,"Near Gold Center Signal, Al Qasimiyah St, Sharjah",Sharjah,4561,06-5733925,https://www.yellowpages-uae.com/rainbow-catering-and-wedding-services-llc-co-116915.html,https://media.yellowpages-uae.com/images/placeholder.png
Pak Al Safa Restaurant LLC,"Near Marco Polo Hotel, Al Muteena St, Deira, Dubai",Dubai,40577,04-2727323,https://www.yellowpages-uae.com/pak-al-safa-restaurant-llc-175219.html,https://media.yellowpages-uae.com/images/placeholder.png
Pak Darbar Restaurant,"Al Nahda, Dubai",Dubai,,04-2206050,https://www.yellowpages-uae.com/pak-darbar-restaurant-175211.html,https://media.yellowpages-uae.com/images/placeholder.png
Pak Khyber Darbar Restaurant,"Al Muteena St, Deira, Dubai",Dubai,,04-2529552,https://www.yellowpages-uae.com/pak-khyber-darbar-restaurant-175242.html,https://media.yellowpages-uae.com/images/placeholder.png
Pak Rose Restaurant,"Near Allwin Trdg, Deira, Dubai",Dubai,,04-2650800,https://www.yellowpages-uae.com/pak-rose-restaurant-103504.html,https://media.yellowpages-uae.com/images/placeholder.png
Pak Sufi Restaurant,"Dmascus St, Al Qusais 1, Dubai",Dubai,,04-2673600,https://www.yellowpages-uae.com/pak-sufi-restaurant-103510.html,https://media.yellowpages-uae.com/images/placeholder.png
Pakistan Sweets and Bakers,"Near Al Ibrahimi Restaurant, Al Karama, Dubai",Dubai,,04-3795040,https://www.yellowpages-uae.com/pakistan-sweets-and-bakers-175262.html,https://media.yellowpages-uae.com/images/placeholder.png
Palermo,"Club House, Opposite Arabian Ranches, Dubai",Dubai,,04-3618111,https://www.yellowpages-uae.com/palermo-67429.html,https://media.yellowpages-uae.com/images/placeholder.png
Palm Grove Restaurant,"Opp Basma Resi, Abu Shagara, Sharjah",Sharjah,,06-5532408,https://www.yellowpages-uae.com/palm-grove-restaurant-130713.html,https://media.yellowpages-uae.com/images/placeholder.png
Pancake House,"Al Wahda, Abu Dhabi",Abu Dhabi,33779,02-6156000,https://www.yellowpages-uae.com/pancake-house-176386.html,https://media.yellowpages-uae.com/images/placeholder.png
Panoor Restaurant LLC,"Sh Colony, Qusais, Dubai",Dubai,,04-2613157,https://www.yellowpages-uae.com/panoor-restaurant-llc-68517.html,https://media.yellowpages-uae.com/images/placeholder.png
Panorama,"Emirates Grand Hotel, sh zayed road, Dubai",Dubai,,04-3230000,https://www.yellowpages-uae.com/panorama-67756.html,https://media.yellowpages-uae.com/images/placeholder.png
Pantry Cafe,"Wasl Square, Dubai",Dubai,,04-3883869,https://www.yellowpages-uae.com/pantry-cafe-175772.html,https://media.yellowpages-uae.com/images/placeholder.png
Papa John's,"Dubai Marina, Dubai",Dubai,27540,04-4309904,https://www.yellowpages-uae.com/papa-john-s-135750.html,https://media.yellowpages-uae.com/images/placeholder.png
Papparoti,"Abu Dhabi Mall, Dubai",Dubai,,04-3308377,https://www.yellowpages-uae.com/papparoti-67430.html,https://media.yellowpages-uae.com/images/placeholder.png
Paragon Castle,"Nrar NMC Hospital, Amman Rd, Al Nahda 2, Dubai",Dubai,,04-2390940,https://www.yellowpages-uae.com/paragon-castle-68505.html,https://media.yellowpages-uae.com/images/placeholder.png
Parco Restaurant,"DIP, Jebel Ali",Jebel Ali,,04-8853955,https://www.yellowpages-uae.com/parco-restaurant-145535.html,https://media.yellowpages-uae.com/images/placeholder.png
Paris Way Restaurant,"Near Hadiqat Al Madina, DIP, Jebel Ali",Jebel Ali,,04-8848884,https://www.yellowpages-uae.com/paris-way-restaurant-145644.html,https://media.yellowpages-uae.com/images/placeholder.png
Park Bar & Grill,"Saadiyat Island, Abu Dhabi",Abu Dhabi,,02-4071138,https://www.yellowpages-uae.com/park-bar-grill-175739.html,https://media.yellowpages-uae.com/images/placeholder.png
Park Darbar Restaurant,"Near Lulu, Muteena Rd, Deira, Dubai",Dubai,,04-2562888,https://www.yellowpages-uae.com/park-darbar-restaurant-175342.html,https://media.yellowpages-uae.com/images/placeholder.png
Park View Restaurant,"Bhnd Zulekha Hospital, Al Nahda 2, Dubai",Dubai,,04-2809985,https://www.yellowpages-uae.com/park-view-restaurant-147206.html,https://media.yellowpages-uae.com/images/placeholder.png
Beiutna Restaurant & Cafe,"Garhoud, Dubai",Dubai,6433,04-2947744,https://www.yellowpages-uae.com/beiutna-restaurant-cafe-162187.html,https://media.yellowpages-uae.com/images/placeholder.png
Bel Mondo Cafe and Restaurant,"Hamdan St, Abu Dhabi",Abu Dhabi,47401,02-6763867,https://www.yellowpages-uae.com/bel-mondo-cafe-and-restaurant-118412.html,https://media.yellowpages-uae.com/images/placeholder.png
Beldian Cafe,"Inter Continental, Al Bateen, Abu Dhabi",Abu Dhabi,,02-6666888,https://www.yellowpages-uae.com/beldian-cafe-175675.html,https://media.yellowpages-uae.com/images/placeholder.png
Belgian Beer Cafe,"Souk Madinat, Dubai",Dubai,,04-4470227,https://www.yellowpages-uae.com/belgian-beer-cafe-175799.html,https://media.yellowpages-uae.com/images/placeholder.png
Bengre Kamat Restaurant LLC,"Near Dolphin Hotel Apartments, Bur Dubai, Dubai",Dubai,43261,04-3553611,https://www.yellowpages-uae.com/bengre-kamat-restaurant-llc-172961.html,https://media.yellowpages-uae.com/images/placeholder.png
Benjarong,"Dusit Thani Dubai, Sh zayed road, Dubai",Dubai,,04-3080000,https://www.yellowpages-uae.com/benjarong-67656.html,https://media.yellowpages-uae.com/images/placeholder.png
Bently Bristo & Bar,"The Galleria, Al Maryah Island, Abu Dhabi",Abu Dhabi,,02-6262131,https://www.yellowpages-uae.com/bently-bristo-bar-175676.html,https://media.yellowpages-uae.com/images/placeholder.png
Bentoya Kitchen,"Sh Zayed Rd, Dubai",Dubai,,04-3430222,https://www.yellowpages-uae.com/bentoya-kitchen-147962.html,https://media.yellowpages-uae.com/images/placeholder.png
Bertin,"Al Manara, Shk Zayed Road, Dubai",Dubai,,04-3219239,https://www.yellowpages-uae.com/bertin-175800.html,https://media.yellowpages-uae.com/images/placeholder.png
Berts Cafe,"The Greens, Dubai",Dubai,,04-3619292,https://www.yellowpages-uae.com/berts-cafe-175746.html,https://media.yellowpages-uae.com/images/placeholder.png
Bhavana Restaurant,"Electra St, Abu Dhabi",Abu Dhabi,,02-6334342,https://www.yellowpages-uae.com/bhavana-restaurant-145576.html,https://media.yellowpages-uae.com/images/placeholder.png
Biancorosso,"Y Tower, Muroor Road, Al Nahyan, Abu Dhabi",Abu Dhabi,40437,02-6584244,https://www.yellowpages-uae.com/biancorosso-175609.html,https://media.yellowpages-uae.com/images/placeholder.png
